INDIKATOR_ID;INDIKATOR_NAME;INDICATOR_NAME_EN;EINHEIT_LANG (UNIT);QUELLE;BESCHREIBUNG;DESCRIPTION_EN
1463;54 Kinder und Jugendliche (Nettoaufwand);54 children and adolescents (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Inkassohilfe, Jugendschutz, Jugendarbeit / Jugendberatung, Kinder- und Jugendheime , Kinderhort, Kinderschutzzentrum, Pro Juventute, Schulsozialarbeit und Tagesmütter. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for debt collection assistance, youth protection, youth work / youth counseling, children's and youth homes, crèche, child protection center, Pro Juventute, school social work and child minders. The permanent resident population is used to calculate the per capita values.
1464;55 Invalidität (Nettoaufwand);55 Invalidity (net expense);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Behindertensport, Beschäftigungstherapie Behinderter, Entlastungsdienst für Familien mit Behinderten, geschützte Werkstätten, Invalidität, Pro Infirmis und Wohnheime für Behinderte. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for disabled sports, occupational therapy for disabled people, relief service for families with disabled people, sheltered workshops, disability, Pro Infirmis and dormitories for disabled people. The permanent resident population is used to calculate the per capita values.
1465;56 Sozialer Wohnungsbau (Nettoaufwand);56 Social housing (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Alterswohnungen, Förderung des sozialen Wohnungsbaus, Mietzinszuschüsse gemäss WEG und Verbesserung der Wohnverhältnisse im Berggebiet. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for old people's apartments, promotion of social housing, rent subsidies in accordance with the WEG and improvement of living conditions in the mountain area. The permanent resident population is used to calculate the per capita values.
1466;57 Altersheim, Pflegeheim (Nettoaufwand);57 Retirement home, nursing home (net expense);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Altersheime, Betagtenheime und Pflegeheime. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenses for old people's homes, old people's homes and nursing homes. The permanent resident population is used to calculate the per capita values.
1467;58 Finanzielle Sozialhilfe (Nettoaufwand);58 Financial social assistance (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für finanzielle Sozialhilfe, Überbrückungsdarlehen an Private, Vorschüsse ALV-Entschädigungen und IV-Renten und nicht anrechenbare Ersatzleistungen im Krankenkassenwesen (Kostenbeteiligungen sowie Mahn- und Betreibungskosten). Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for financial social assistance, bridging loans to private individuals, advances ALV compensation and IV pensions and non-creditable replacement benefits in the health insurance system (co-payments as well as dunning and collection costs). The permanent resident population is used to calculate the per capita values.
1468;59 Humanitäre Hilfen, Patenschaften (Nettoaufw.);59 Humanitarian aid, sponsorships (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Auslandhilfe, Berggemeinden, Entwicklungshilfe, humanitäre Hilfen, Katastrophenhilfe, nichtversicherbare Elementarschäden und Patenschaften. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for foreign aid, mountain communities, development aid, humanitarian aid, disaster aid, non-insurable natural disasters and sponsorships. The permanent resident population is used to calculate the per capita values.
1469;61 Staatsstrassen (Nettoaufwand);61 state roads (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Fussgängerschutz an Staatsstrassen, Geh- und Radwege entlang den Staatstrassen, Lärmschutzmassnahmen und Lichtsignalanlagen bei Staatsstrassen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for pedestrian protection on state roads, sidewalks and cycle paths along state roads, noise protection measures and traffic lights on state roads. The permanent resident population is used to calculate the per capita values.
1470;62 Gemeindestrassen (Nettoaufwand);62 municipal roads (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Brücken, Bussen für Übertretungen des Strassenverkehrsgesetzes, Dauerparkierung auf öffentlichem Grund, Durchleitungsentschädigungen (z.B. privatisierte Elektrizitätswerke), Gemeindestrassen, Gemeindewege, Hausnummerierung, Magazin für Strassendienst, öffentliche Beleuchtung, Parkhäuser, Parkplätze, Pauschalbeitrag Kanton, ruhender Verkehr und Werkhof. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenses for bridges, buses for violations of the Road Traffic Act, long-term parking on public property, transmission fees (e.g. privatized electricity plants), communal roads, communal roads, house numbering, road service magazine, public lighting, parking garages, parking spaces, cantonal flat-rate contribution, stationary traffic and works yard. The permanent resident population is used to calculate the per capita values.
1471;65 Öffentlicher Verkehr (Nettoaufwand);65 Public transport (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Bahnhofgebäude, Bundesbahnen, Bushaltestellen, Park + Ride, Postautokurse, Privatbahnen, Regionalverkehr, Sesselbahnen, unpersönliches Generalabonnement (UGA), Veloeinstellräume und -unterstände bei Bahnhöfen und Verkehrsbetriebe Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenses for station buildings, federal railways, bus stops, Park + Ride, Postbus courses, private railways, regional transport, chairlifts, impersonal general season tickets (UGA), bicycle storage rooms and shelters at train stations and transport companies The permanent resident population is used to calculate the per capita values.
1472;66 Schifffahrt, Hafenanlagen (Nettoaufwand);66 Shipping, port facilities (net expense);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Hafenanlagen, Schifffahrtsbetriebe und Schiffstege. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenses for port facilities, shipping companies and jetties. The permanent resident population is used to calculate the per capita values.
1473;70 Wasserversorgung (Nettoaufwand);70 water supply (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für die Wasserversorgung Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for water supply The permanent resident population is used to calculate the per capita values.
1474;71 Abwasserbeseitigung (Nettoaufwand);71 Wastewater disposal (net expense);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Abwasseranlagen, generelle Entwässerungsplanung (GEP), Gewässerschutz, Kanalisationen, Kläranlagen, Pumpwerke und Regenwasserbehandlung. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for sewage systems, general drainage planning (GEP), water protection, sewer systems, sewage treatment plants, pumping stations and rainwater treatment. The permanent resident population is used to calculate the per capita values.
1475;72 Abfallbeseitigung (Nettoaufwand);72 waste disposal (net expense);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Abfallbeseitigung, Ablagerungsplatz, Altglassammelstelle, Altmetallsammlung, Altpapiersammlung, Bauschuttdeponie, Container, Grünabfuhr, Kehrichtabfuhr, Kehrichtverbrennung, Kehrichtverwertung, Kompostierungsanlage und Multikomponentendeponie. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for waste disposal, disposal site, waste glass collection point, waste metal collection, waste paper collection, building rubble landfill, container, green waste disposal, waste disposal, waste incineration, waste recycling, composting plant and multi-component landfill. The permanent resident population is used to calculate the per capita values.
1476;73 Übriger Umweltschutz (Nettoaufwand);73 Other environmental protection (net expense);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Feuerungskontrolle, Hundeversäuberungsplätze, Lufthygiene, Medikamentenentsorgung, öffentliche Toiletten, Robidog, Sonder- und Giftabfälle, Tankkataster und Umweltschutzorganisationen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenses for fire control, dog cleaning stations, air hygiene, medication disposal, public toilets, Robidog, hazardous and toxic waste, tank cadastre and environmental protection organizations. The permanent resident population is used to calculate the per capita values.
1477;74 Friedhof, Bestattungen (Nettoaufwand);74 cemetery, burials (net expenses);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Aufbahrungshalle, Bestattungen, Friedhof, Friedhofgärtner und Kremationen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expense for the funeral hall, burial, cemetery, cemetery gardener and cremation. The permanent resident population is used to calculate the per capita values.
1478;75 Gewässerverbauungen (Nettoaufwand);75 water construction works (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Bachverbauungen, Böschungssanierungen, Gewässer, Gewässerverbauungen und Kiessammler. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for brook barriers, embankment rehabilitation, water bodies, water barriers and gravel collectors. The permanent resident population is used to calculate the per capita values.
1479;76 Lawinenverbauungen (Nettoaufwand);76 avalanche barriers (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Lawinenverbauungen. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for avalanche barriers. The permanent resident population is used to calculate the per capita values.
1480;77 Raumplanung (Nettoaufwand);77 spatial planning (net expenditure);Franken pro Einwohner/-in;"Amt für Gemeinden Gemeindefinanzstatistik; Bundesamt für Statistik STATPOP";Nettoaufwand für Baugrundkataster, Entwicklungskonzepte, Gestaltungspläne, Grundwasserschutzzone, Landumlegung (Planung), materielle Enteignung, Nutzungsbeschränkungen, Ortsplanung, Raumplanung, Regionalplanung, Richtplanung, Schutzverordnung, Überbauungspläne, Verkehrsplanung und Zonenpläne. Zur Berechnung der Pro-Kopf-Werte wird die ständige Wohnbevölkerung verwendet. ;Net expenditure for building land cadastre, development concepts, design plans, groundwater protection zone, land reassignment (planning), material expropriation, usage restrictions, local planning, spatial planning, regional planning, structure planning, protection ordinance, building plans, traffic planning and zone plans. The permanent resident population is used to calculate the per capita values.
